name,state,description,tags
"""Subsidy to Pollution Control Equipment"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",Puducherry,"Through ""Subsidy to Pollution Control Equipment"", the units which are installing pollution control equipment will be granted subsidy @ 25% up to a max. of ₹5,00,000/-. The applications are accepted offline in the prescribed form available on the Official Website of the Department.","['Business', 'Equipment', 'Industry', 'MSME', 'Pollution', 'Subsidy']"
"""Capital Investment Subsidy (for New and Existing Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",Puducherry,"Through ""Capital Investment Subsidy (for New and Existing Industries)"", the enterprises & entrepreneurs are provided subsidies of upto 45% on the investments made on land, buildings, plants and machinery. The applications are accepted offline in the prescribed form available on the Official website.","['Building', 'Entrepreneur', 'Investment', 'Machinery', 'MSME', 'Subsidy']"
Motivation of Entrepreneurs and Financial Assistance for Rehabilitation of Sick Industries,Puducherry,"Through this scheme, the cost of implementing suggestions given by the experts in the field of technology, marketing and finance engaged to advise sick units is reimbursed. 50% subsidy towards the cost of diagnostic study by technical institutions initiated through Financial Institutions/Banks/etc.","['Business', 'Finance', 'Industry', 'Rehabilitation', 'Subsidy']"
Mai Ramabai Ambedakar Saat Phera Samuh Lagna Yojana,Gujarat,"Under the scheme, incentives are provided to couples who participate in group marriages, as well as to the organizing institution. If people adopt the practice of group marriages, they can avoid the unnecessary expenses associated with individual weddings and promote financial growth.","['Financial Assistance', 'Group Marriage', 'Incentive', 'Scheduled Caste', 'Wedding']"
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Tribes (HRT-3)",Gujarat,"Under the scheme, financial assistance is provided to farmers belonging to the Scheduled Tribes category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment.","['Cooperative Society', 'Equipment', 'Farmer', 'Farmer Group', 'Financial Assistance', 'HRT-3', 'Scheduled Tribe', 'Tools']"
One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI),West Bengal,"“One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI)”  by the Agriculture Department, Government of West Bengal aims to aid the farmers in procuring manually operated small farm implements necessary for agricultural operations.","['Agriculture', 'Farmers', 'Financial Assistance', 'Small Farm Implements']"
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Energy Efficiency (EES)",West Bengal,"“Subsidy for Energy Efficiency (EES)” incentives under “Banglashree for MSMEs” scheme implemented by the MSMEs Dept., Government of West Bengal, aims to provide a reimbursement for the cost of energy and installations for energy conservation as per energy audit.","['Energy Efficiency', 'Entrepreneurship', 'Incentives', 'MSME', 'Subsidy']"
Mai Ramabai Ambedakar Saat Phera Samuh Lagna Yojana,Gujarat,"Under the scheme, incentives are provided to couples who participate in group marriages, as well as to the organizing institution. If people adopt the practice of group marriages, they can avoid the unnecessary expenses associated with individual weddings and promote financial growth.","['Financial Assistance', 'Group Marriage', 'Incentive', 'Scheduled Caste', 'Wedding']"
West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024: Supply of Yarn to Societies etc. at Subsidized Rate,West Bengal,"“Supply of Yarn to Societies etc. at Subsidized Rate"" is a sub-scheme under ""West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024”, by the MSME and Textiles Dept, Government of West Bengal aims to  provide supply of subsidized yarn to the PWCS, Khadi Weavers' Societies etc.","['Handloom', 'Khadi Societies', 'Khadi Weavers', 'PWCS', 'Subsidized Rate', 'Yarn']"
The West Bengal Incentive Scheme: State Capital Investment Subsidy,West Bengal,"“State Capital Investment Subsidy” incentives under “The West Bengal Incentive Scheme” scheme implemented by the Dept. of Tourism, Government of West Bengal, aims to provide a State Capital Investment Subsidy of the fixed capital investment.","['Entrepreneurship', 'Incentives', 'MsmeS', 'Reimbursement', 'State Capital Investment Subsidy', 'Subsidy', 'Tourism', 'Tourism Units']"
Financial Assistance to Non Governmental Organisations,Tamil Nadu,"The ""Financial Assistance to Non Governmental Organisations"" scheme was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. The scheme aims to provide financial assistance to the NGO run a school for children with intellectual disability.","['Children', 'NGO', 'Person With Disability', 'School']"
The West Bengal Incentive Scheme: Additional Incentive for Adventure Tour Operators,West Bengal,"“Additional Incentive for Adventure Tour Operators” incentives under the “WBIS” scheme by the Dept. of Tourism, Government of West Bengal, aims to provide reimbursement incentives with SGST payments for purchasing tents, dinghies, adventure & sports equipment, and related accessories.","['Adventure', 'Entrepreneurship', 'Incentives', 'Reimbursement', 'Subsidy', 'Tour Operators', 'Tourism', 'Tourism Units']"
The West Bengal Incentive Scheme: Waiver of Electricity Duty,West Bengal,"“Waiver of Electricity Duty” incentives under “The West Bengal Incentive Scheme” scheme implemented by the Dept. of Tourism, Government of West Bengal, aims to provide waiver of electricity duty on the electricity consumed in its approved project.","['Electricity Duty', 'Entrepreneurship', 'Incentives', 'MSME', 'Reimbursement', 'Subsidy', 'Tourism', 'Tourism Units', 'Waiver']"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance of Interest Subsidy,Dadra & Nagar Haveli and Daman & Diu,"“Assistance of Interest Subsidy” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to provide Interest Subsidy on the term loan on equipment/machinery etc and furniture’s / fixtures (except land and building).","['Entrepreneurship', 'Incentives', 'Interest Subsidy', 'Investment', 'IPS', 'MSMEs', 'Reimbursement', 'Subsidy']"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Patent Registration /Trade Mark Registration,Dadra & Nagar Haveli and Daman & Diu,"“Assistance For Patent Registration/ Trade Mark Registration” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to extend support for obtaining Patent Registration/ Trade Mark Registration.","['Entrepreneurship', 'Incentives', 'Investment', 'IPS', 'MSMEs', 'Patent Registration', 'Reimbursement', 'Subsidy', 'Trade Mark Registration']"
Investment Promotion Scheme (IPS) for MSME Sector: Incentives For Doubling Of Export Values,Dadra & Nagar Haveli and Daman & Diu,"“Incentives For Doubling Of Export Values” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to extend support to MSMEs to increase exports and enhance export values.","['Entrepreneurship', 'Export Values', 'Incentives', 'Investment', 'MSMEs', 'Reimbursement', 'Subsidy']"
Incentive Scheme for MSMEs in Powerloom Sector: Waiver of Electricity Duty,West Bengal,"“Waiver of Electricity Duty” incentives under the “Incentive Scheme for MSMEs in Powerloom Sector” scheme implemented by the Dept. of MSME & T, Government of West Bengal, aims to provide reimbursement of electricity duty on the electricity consumed for the manufacturing activity.","['Electricity Duty', 'Entrepreneurship', 'Powerloom', 'Reimbursement', 'Subsidy', 'Waiver']"
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for State Goods and Services Tax (SGST),West Bengal,"“Subsidy for State Goods and Services Tax (SGST)” incentive under the “Incentive Scheme for MSMEs in Powerloom Sector” scheme implemented by the Dept. of MSME & T, Government of West Bengal, aims to provide refund of Net SGST paid to the Government of West Bengal for its approved project.","['Entrepreneurship', 'GST', 'Powerloom', 'Reimbursement', 'SGST', 'State Goods And Services Tax', 'Subsidy', 'Waiver']"
Incentive Scheme for MSMEs in Powerloom Sector: Interest Subsidy on Term Loan,West Bengal,"“Interest Subsidy on Term Loan” incentives under the “Incentive Scheme for MSMEs in Powerloom Sector” scheme implemented by the Dept. of MSME & T, Government of West Bengal, aims to provide subsidy on annual interest liability on the Term Loan borrowed from a Bank to an approved project.","['Entrepreneurship', 'Incentives', 'Interest Subsidy', 'Powerloom', 'Reimbursement', 'Subsidy', 'Term Loan']"
Investment Promotion Scheme (IPS) For Cottage Industries: Financial Assistance To Cottage Industries,Dadra & Nagar Haveli and Daman & Diu,"“Financial Assistance To Cottage Industries'' under the “Investment Promotion Scheme (IPS)”, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to provide financial assistance to Cottage Industries on the term loan taken through banks.","['Capital Subsidy', 'Cottage Industries', 'Entrepreneurship', 'Incentives', 'Interest Subsidy', 'IPS', 'MSMEs', 'Reimbursement', 'Subsidy', 'Term Loan']"
Kalyanamastu Pathakam Scheme - Andhra Pradesh,Andhra Pradesh,"The ""Kalyanamastu Pathakam Scheme - Andhra Pradesh"" aims to encourage girls to marry the boys living in Andhra Pradesh who are getting their livelihood through Vaidikam, a one-time financial assistance of ₹75,000/- will be granted. In order to encourage Vedic culture as well.","['Brahmin', 'Financial Assistance', 'Marriage', 'Social Welfare']"
